t_contact_s,theta_err_t1_deg
0,9.298752265
0.001,9.298435292
0.002,9.298397822
0.003,9.29823942
0.004,9.29805789
0.005,9.297597351
0.006,9.297074416
0.007,9.296358665
0.008,9.295415978
0.009,9.294443172
0.01,9.293308236
0.011,9.29209054
0.012,9.290827866
0.013,9.289634131
0.014,9.288385072
0.015,9.287035096
0.016,9.285652877
0.017,9.284110979
0.018,9.282709044
0.019,9.281162166
0.02,9.27985291
0.021,9.278533924
0.022,9.277384607
0.023,9.276265584
0.024,9.275122784
0.025,9.274234748
0.026,9.273213594
0.027,9.272291323
0.028,9.271199174
0.029,9.270062377
0.03,9.269196095
0.031,9.268211547
0.032,9.267145626
0.033,9.266432285
0.034,9.26561283
0.035,9.26488055
0.039,9.261508861
0.04,9.26076857
0.041,9.259942529
0.042,9.259235602
0.043,9.258472456
0.044,9.257705586
0.045,9.257169424
0.046,9.256371377
0.047,9.255762992
0.048,9.255070646
0.049,9.254470331
0.05,9.253972686
0.051,9.253393838
0.052,9.252908656
0.053,9.252410093
0.054,9.251707811
0.055,9.251361626
0.056,9.251011064
0.057,9.250723747
0.058,9.250361491
0.059,9.250113122
0.06,9.249928854
0.061,9.24945672
0.062,9.249247152
0.063,9.248905915
0.064,9.248824833
0.065,9.248549219
0.066,9.248225751
0.067,9.248016524
0.068,9.247716395
0.069,9.247525928
0.07,9.247343054
0.071,9.247016319
0.072,9.246911022
0.073,9.246627772
0.074,9.246393871
0.075,9.24611685
0.076,9.245794493
0.077,9.245503381
0.078,9.245299823
0.079,9.245015816
0.08,9.244718032
0.081,9.244605636
0.082,9.244478083
0.083,9.244121576
0.084,9.243955104
0.085,9.243730518
0.086,9.243566014
0.087,9.243366046
0.088,9.243075121
0.089,9.243006039
0.09,9.242705889
0.091,9.242515894
0.092,9.242291851
0.093,9.242127296
0.094,9.241972194
0.095,9.241772466
0.097,9.241233252
0.098,9.240976143
0.099,9.240872867
0.1,9.240711082
0.101,9.240484186
0.102,9.240231746
0.103,9.239998906
0.104,9.23982715
0.105,9.239624519
0.106,9.239361904
0.107,9.239297227
0.108,9.238950268
0.109,9.238764811
0.11,9.238590533
0.111,9.238274416
0.112,9.238157201
0.113,9.237958777
0.114,9.237781118
0.115,9.237508129
0.116,9.237310447
0.117,9.23707949
0.118,9.236895507
0.119,9.236570936
0.12,9.236529516
0.121,9.236241285
