t_contact_s,theta_err_t1_deg
0.278,9.253177728
0.279,9.253109332
0.28,9.252999316
0.281,9.25272752
0.282,9.252646345
0.283,9.252367176
0.284,9.252289864
0.285,9.252244651
0.286,9.252124556
0.287,9.251928882
0.288,9.251928986
0.289,9.251680767
0.29,9.251626186
0.291,9.25139671
0.292,9.251160439
0.293,9.25102705
0.294,9.25095619
0.295,9.250721661
0.296,9.25064971
0.297,9.250395161
0.298,9.250242528
0.299,9.250133061
0.3,9.250023679
0.301,9.249676559
0.302,9.249654928
0.303,9.249394542
0.304,9.249458936
0.305,9.249154368
0.306,9.248991775
0.307,9.248953175
0.308,9.24881309
0.309,9.248581175
0.31,9.248495587
0.311,9.24824007
0.312,9.248174753
0.313,9.247985909
0.314,9.24781717
0.315,9.247699236
0.316,9.247457586
0.317,9.247414594
0.318,9.247084259
0.319,9.246946167
0.32,9.246818938
0.321,9.246628121
0.322,9.246507375
0.323,9.246206948
0.324,9.246164126
0.325,9.246089263
0.326,9.245763617
0.327,9.245504366
0.328,9.245397292
0.329,9.245185428
0.33,9.244959543
0.331,9.244941141
0.332,9.244676062
0.333,9.244582811
0.334,9.244361581
0.335,9.244108665
0.336,9.243975546
0.337,9.243794039
0.338,9.243545129
0.339,9.243333433
0.34,9.243179958
0.341,9.242983402
0.342,9.242718951
0.343,9.242615479
0.344,9.2422988
0.345,9.24222656
0.346,9.242047387
0.347,9.241859708
0.348,9.241613742
0.349,9.241539458
0.35,9.24150351
0.351,9.241236068
0.352,9.241147516
0.353,9.24080452
0.354,9.240471291
0.355,9.240050498
0.356,9.239529115
0.357,9.239244776
0.358,9.238594145
0.359,9.23790127
0.36,9.237661541
0.361,9.237401512
0.362,9.237051737
0.363,9.236894901
0.364,9.236592031
0.365,9.23640476
0.366,9.236392752
0.367,9.236596722
0.368,9.236828942
0.369,9.237053989
0.37,9.237246203
0.371,9.237558905
0.372,9.23768505
0.373,9.23782557
0.374,9.237939583
0.375,9.238056179
0.376,9.238116358
0.377,9.238200695
0.378,9.238239126
0.379,9.238412733
0.38,9.238751972
0.381,9.239090921
0.382,9.239383618
0.383,9.239664483
0.384,9.239753586
0.385,9.239853716
0.386,9.23982216
0.387,9.23968118
0.388,9.239266729
0.389,9.239009611
0.391,9.237971775
0.392,9.237591878
0.393,9.237080287
0.394,9.236423013
0.395,9.235885611
0.396,9.235248497
0.397,9.234645834
0.398,9.234046052
0.399,9.233500667
0.4,9.23287889
0.401,9.232491916
0.402,9.231928309
0.403,9.231476173
0.404,9.230990647
0.405,9.230583302
0.406,9.230198375
0.407,9.229671995
0.408,9.229361629
0.409,9.22910313
0.41,9.228827465
0.411,9.228470476
0.412,9.228273642
0.413,9.227978937
0.414,9.227812146
0.415,9.227559731
0.416,9.227228784
0.417,9.227198038
0.418,9.227032597
0.419,9.226938723
0.42,9.226957154
0.421,9.226736842
0.422,9.226797913
0.423,9.22664426
0.424,9.226607231
0.425,9.226543882
0.426,9.226515959
0.427,9.226457975
0.428,9.226513411
0.429,9.226470237
0.43,9.226435778
0.431,9.226377809
0.432,9.22642564
0.433,9.226355712
0.434,9.226219399
0.435,9.226017928
0.436,9.225930513
0.437,9.22581213
0.438,9.225604904
0.439,9.225584103
0.44,9.225409253
0.441,9.225233801
0.442,9.224976783
0.443,9.224736431
0.444,9.224484516
0.445,9.224394155
0.446,9.224107808
0.447,9.223803071
0.448,9.223505943
0.449,9.223324168
0.45,9.223088364
0.451,9.22279589
0.452,9.222490215
0.453,9.222226915
0.454,9.221843675
0.455,9.22138542
0.456,9.221028254
0.457,9.220480445
0.458,9.220175189
0.459,9.219998024
0.46,9.219620463
0.461,9.219221686
0.462,9.218919923
0.463,9.21873291
0.464,9.218331365
0.465,9.218034273
0.466,9.217771239
0.467,9.21760525
0.468,9.217229275
0.469,9.217015363
0.47,9.216844826
0.471,9.216720148
0.472,9.216716253
0.473,9.216683192
0.474,9.216426672
0.475,9.216236614
0.476,9.216095484
0.477,9.216036007
0.478,9.215795012
0.479,9.215874002
0.48,9.215711593
0.481,9.215543631
0.482,9.215422725
0.483,9.215370094
0.484,9.215176047
0.485,9.215092591
0.486,9.214911721
0.487,9.214786182
0.488,9.214747039
0.489,9.214672417
0.49,9.214579637
0.491,9.214403023
0.492,9.214263012
0.493,9.214168678
0.494,9.21423816
0.495,9.214057463
0.496,9.214041837
0.497,9.213878787
0.498,9.213741248
0.499,9.21372414
0.5,9.21345276
0.501,9.213398534
0.502,9.213285693
0.503,9.21322858
0.504,9.213049719
0.505,9.212920573
0.506,9.212739172
0.507,9.212591234
